# Kalibrierung geometrie.py an den Kuenstler-Masken STAGE1 (mit Regel (i), Objekt = gruppe)
Raum      Cut  ebene  Komp Felder Quelle   |  medMax  medMed  medMin | Rechtecke je Stufe 2/4/8/16 (X = Ueberlauf)
ROOM11C0  1        0     2     26 zz       |     +25     +10      -3 | 102/97/66/34
ROOM11C0  2        0     2     21 zz       |     -14     -19     -20 | 87/52/38/29
ROOM11C0  3        0     2     20 zz       |     +91     -16     -58 | 104/85/59/35
ROOM11C0  4        0     1     15 z        |    -116    -119    -121 | 59/40/25/19
ROOM11C0  5        0     1     15 z        |     -39     -72     -83 | 55/39/24/18
ROOM11C0  6        0     1     10 z        |     +58      -8     -33 | 44/36/25/15
ROOM11C0  7        0     1     18 z        |     +56     +33     +17 | 73/42/25/20
ROOM11C0  8        0     2     23 zz       |     +68     +34     +15 | 105/99/57/34
ROOM11C0  9        0     1     17 z        |     +20      +5      -6 | 50/42/26/16
ROOM11C0  10       0     1     13 z        |     +68     +48     +35 | 81/47/27/16
ROOM11C0  11       0     1     13 z        |     -86    -103    -104 | 45/36/25/18
ROOM11C0  12       0     4     62 kkkk     |       -       -       - | 0/0/0/0
ROOM11E0  1        0     1      8 z        |      -9     -15     -22 | 57/34/21/11
ROOM11E0  2        0     1     13 z        |      -5     -13     -19 | 56/31/19/12
ROOM11E0  3        0     1      5 z        |    +104     +95     +87 | 66/37/22/16
ROOM11E0  4        0     3     26 zkz      |      -1      -9     -15 | X/80/51/34
ROOM11E0  5        0     1     12 z        |     -37     -38     -39 | 30/16/6/4
ROOM11E0  8        0     2     32 pz       |     +60     +51     +47 | 39/26/19/15
ROOM11E0  9        0     1     12 z        |     -45     -58     -66 | 101/75/43/28
ROOM11E0  11       0     1     20 z        |      -5     -11     -16 | 77/46/29/15
ROOM11E0  13       0     1     12 z        |    +106    +103    +100 | 54/32/21/15
ROOM1200  0        0     3     30 zpz      |     -10     -14     -18 | 104/65/43/32
ROOM1200  1        0     4     17 kkzz     |      +3      +2      -5 | 87/50/30/20
ROOM1200  2        0     3     32 zkk      |     -14     -15     -18 | 16/15/10/9
ROOM1200  3        0     1      7 z        |      -2      -4      -6 | 39/21/13/11
ROOM1210  1        0     4     16 zpkp     |     +32     +22     +19 | 45/29/19/19
ROOM1210  2        0     1      9 p        |     +39     +19      +0 | 36/28/20/14
ROOM1210  3        0    19     61 pzzzzzzz |     +24     +20     +16 | X/X/70/33
ROOM1210  4        0    33     70 pzpkkkzz |     +15      -2      -6 | X/X/82/51
ROOM1210  5        0    27     70 zzkzzzpz |      +2      -5     -10 | X/X/64/38
ROOM1210  6        0    11     37 pppppppk |    +135    +124    +114 | X/69/39/26
ROOM1210  7        0    17     70 zzzzpzpp |     +28     +22     +18 | X/X/61/35
ROOM1210  8        0    13     59 zkkzkzzk |     +13      -5      -9 | 105/89/57/29

# Zusammenfassung: 107 Cuts, 511 Komponenten, 3055 Kuenstler-Rechtecke, 1263 s
# Tiefenquelle je Komponente: keine=97, profil=110, zelle=304
# uebersprungen (Bodenebene uneindeutig): 7: ROOM1090 C3 (uneindeutig); ROOM1090 C7 (uneindeutig); ROOM1090 C11 (uneindeutig); ROOM1170 C1 (uneindeutig); ROOM1170 C2 (uneindeutig); ROOM1170 C4 (uneindeutig); ROOM1170 C5 (uneindeutig)
# Fehler Modell minus Kuenstler je Hypothese und Faktor (Einheit: OT-Bucket = 64,0625 vz):
# Faktor Stat    Median  Mittel  |e|<=2   |e|<8     e<-8      e>8      e<0      e>0
# 0.90   MAX       +0.0    +4.4    6.3%   18.1%    39.1%    40.4%    49.8%    49.2%
# 0.90   MED       -9.0    -6.3    5.3%   15.1%    51.3%    31.6%    60.9%    38.4%
# 0.90   MIN      -14.0   -13.4    4.3%   14.0%    57.5%    26.5%    65.9%    33.3%
# 0.90   OBJMIN   -25.0   -26.6    2.5%    8.6%    68.6%    21.3%    73.6%    25.9%
# 0.95   MAX       +5.0   +11.9    6.7%   19.8%    31.8%    45.8%    42.7%    55.9%
# 0.95   MED       -4.0    +0.6    5.9%   18.4%    44.0%    35.5%    55.5%    43.3%
# 0.95   MIN       -9.0    -6.9    4.9%   16.0%    51.7%    30.5%    61.2%    37.6%
# 0.95   OBJMIN   -20.0   -20.9    3.0%   10.0%    64.7%    23.7%    71.2%    28.3%
# 1.00   MAX      +11.0   +19.3    6.6%   20.5%    24.2%    52.8%    34.6%    64.1%
# 1.00   MED       +1.0    +7.5    8.3%   22.2%    35.0%    40.1%    48.2%    50.1%
# 1.00   MIN       -5.0    -0.4    6.6%   19.0%    43.3%    35.2%    55.9%    42.7%
# 1.00   OBJMIN   -15.0   -15.1    4.1%   12.9%    58.5%    26.8%    68.3%    30.9%
# 1.05   MAX      +17.0   +26.8    6.4%   17.2%    20.0%    60.9%    26.6%    72.0%
# 1.05   MED       +6.0   +14.4    9.0%   23.9%    27.1%    46.3%    39.6%    58.4%
# 1.05   MIN       +1.0    +6.1    7.4%   22.4%    35.5%    39.4%    48.6%    50.1%
# 1.05   OBJMIN   -10.0    -9.4    6.8%   16.7%    51.9%    28.9%    63.7%    34.9%
# 1.10   MAX      +22.0   +34.3    3.3%   12.1%    17.1%    69.2%    21.5%    77.8%
# 1.10   MED      +12.0   +21.3    7.1%   20.1%    22.7%    54.6%    30.5%    68.4%
# 1.10   MIN       +6.0   +12.6    8.2%   22.0%    28.9%    46.7%    39.7%    58.8%
# 1.10   OBJMIN    -5.0    -3.6    7.0%   19.4%    45.5%    32.4%    56.7%    42.2%
# Fehler bei Faktor 1,00 NACH TIEFENQUELLE des Rechtecks (zelle = Regel (i), profil = Regel (ii)+(iii)):
# Quelle   Stat        n  Median  Mittel   |e|<8    e<-8     e>8  |e|<=2
# profil   MAX       831   +80.0   +83.7    5.1%   17.1%   77.0%    1.6%
# profil   MED       831   +53.0   +71.0    8.7%   18.3%   72.6%    3.4%
# profil   MIN       831   +43.0   +61.3   11.3%   20.8%   67.5%    4.2%
# profil   OBJMIN    831   +28.0   +45.6    9.9%   26.0%   62.9%    4.0%
# zelle    MAX      2224    +5.0    -4.7   26.3%   26.8%   43.7%    8.5%
# zelle    MED      2224    -4.0   -16.2   27.2%   41.2%   28.0%   10.2%
# zelle    MIN      2224    -9.0   -23.4   21.9%   51.7%   23.2%    7.5%
# zelle    OBJMIN   2224   -22.0   -37.8   14.0%   70.7%   13.3%    4.1%
# Streuung der Modelltiefe (Faktor 1,00) INNERHALB eines Kuenstler-Rechtecks (max-min): Median 11  p75 23  p90 44  p95 70  Anteil <=1: 7.6 %  <=2: 12.8 %  <=4: 21.4 %  <=8: 41.5 %
# Stufe  2: Zerlegung haelt in 77 von 107 Cuts; Rechtecke Median 86 p90 105 max 105; Ueberlauf 30
# Stufe  4: Zerlegung haelt in 94 von 107 Cuts; Rechtecke Median 58 p90 104 max 105; Ueberlauf 13
# Stufe  8: Zerlegung haelt in 105 von 107 Cuts; Rechtecke Median 40 p90 79 max 105; Ueberlauf 2
# Stufe 16: Zerlegung haelt in 107 von 107 Cuts; Rechtecke Median 26 p90 56 max 95; Ueberlauf 0
