# Kalibrierung geometrie.py an den Kuenstler-Masken STAGE1 (OHNE Regel (i), Objekt = gruppe)
Raum      Cut  ebene  Komp Felder Quelle   |  medMax  medMed  medMin | Rechtecke je Stufe 1/2/3/4/6/8/12/16 (X = Ueberlauf)
ROOM1190  7        0    14     79 ppppppkk |      -4      -5      -6 | X/93/72/53/44/30/27/22
ROOM1190  8        0     1      8 k        |       -       -       - | 0/0/0/0/0/0/0/0
ROOM1190  12       0     6     35 pppppp   |      +9      +3      +1 | X/87/61/49/36/29/22/21
ROOM1190  13       0     3     30 ppp      |     +23      -6     -16 | X/104/95/75/59/47/39/34
ROOM1190  14       0     3     28 pkk      |       -       -       - | 98/93/67/54/41/29/29/21
ROOM11B0  7        0     1     14 p        |      -4     -18     -23 | X/87/57/47/31/25/17/13
ROOM11B0  8        0     1     10 p        |      +1     -10     -10 | 11/7/9/6/5/5/3/5
ROOM11B0  9        0     2     37 pp       |     +42     +29     +23 | X/105/104/103/77/59/48/40
ROOM11B0  10       0     2     25 pp       |     +97     +71     +68 | 50/32/27/22/17/17/15/16
ROOM11B0  11       0     3     46 ppp      |     +75     +75     +67 | 90/64/56/52/47/42/40/38
ROOM11C0  0        0     2     11 pp       |     +10      +4      -1 | 46/29/21/17/12/10/9/9
ROOM11C0  1        0     2     26 pp       |     +27     +24     +21 | 91/59/45/37/26/25/24/17
ROOM11C0  2        0     2     21 pp       |     +20     +11      +3 | X/89/61/51/37/33/26/25
ROOM11C0  3        0     2     20 pp       |     -13     -23     -30 | X/104/98/75/56/45/38/30
ROOM11C0  4        0     1     15 p        |     +13      +7      +5 | 73/44/32/28/21/18/14/13
ROOM11C0  5        0     1     15 p        |      -7     -11     -14 | 72/40/28/24/17/16/13/11
ROOM11C0  6        0     1     10 p        |     +29     +24     +22 | 36/23/17/16/12/12/11/11
ROOM11C0  7        0     1     18 p        |     -22     -26     -29 | 101/54/40/31/24/21/15/14
ROOM11C0  8        0     2     23 pp       |     +40     +40     +35 | 98/58/37/29/23/27/17/20
ROOM11C0  9        0     1     17 p        |      +9      +6      +3 | 102/68/49/38/28/24/20/19
ROOM11C0  10       0     1     13 p        |     +51     +49     +47 | 69/38/28/24/18/15/14/12
ROOM11C0  11       0     1     13 p        |     +17     +13     +10 | 35/22/16/14/11/10/8/6
ROOM11C0  12       0     4     62 kkkk     |       -       -       - | 0/0/0/0/0/0/0/0
ROOM11E0  1        0     1      8 p        |     +62     +48     +37 | 28/14/12/7/9/7/7/7
ROOM11E0  2        0     1     13 p        |     +52     +47     +43 | 41/29/25/23/21/18/19/14
ROOM11E0  3        0     1      5 p        |    +174    +165    +156 | 19/10/7/8/7/8/6/7
ROOM11E0  4        0     3     26 pkp      |     +39     +31     +28 | 56/32/22/17/14/11/10/8
ROOM11E0  5        0     1     12 p        |    +194    +190    +187 | 14/8/5/4/3/3/2/2
ROOM11E0  8        0     2     32 pp       |     +59     +56     +53 | 30/18/15/15/14/13/12/12
ROOM11E0  9        0     1     12 p        |      -6     -14     -20 | 29/15/11/8/7/5/4/4
ROOM11E0  11       0     1     20 p        |     +43     +40     +37 | 44/23/14/11/8/6/4/4
ROOM11E0  13       0     1     12 p        |    +149    +145    +142 | 16/9/7/6/4/4/4/4
ROOM1200  0        0     3     30 ppp      |     +12      -7      -9 | 105/82/60/52/41/35/29/28
