# RE1.5 Port — BEFUND-LOG (Sep  6 2026 09:39:45)
# Eine Zeile je 15 Bilder, dazu jede F9-MARKE.
# Spalten:
#   F<n>        Bildnummer
#   R<xxxx> C<n> Raum und Kamerawinkel
#   pos=(x,y,z) Weltlage der Figur, rot = Blickrichtung (0..4095)
#   vz=a/b/c    Kamera-Tiefe von FUSS / HUEFTE / KOPF
#   scr=(x,y)   Fusspunkt im 320x240-Bild
#   kasten=...  geschaetzter Bildkasten der Figur (Messgroesse)
#   masken=n    geladene Vordergrund-Masken dieses Winkels
#   [i:(x,y)wxh t=T z=Z DECKT|frei]  jede Maske, die den Kasten beruehrt.
#       Der Zeichner verdeckt, solange die Figur-Tiefe GROESSER als z ist
#       (z = T*64). 'frei' heisst: die Figur steht VOR dieser Maske.
# ---------------------------------------------------------------
F495     R1240 C2  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F510     R1240 C2  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F525     R1240 C2  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F540     R1240 C2  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F555     R1240 C2  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F570     R1240 C2  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F585     R1240 C2  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F600     R1240 C2  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F615     R1240 C2  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F630     R1240 C2  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F645     R1240 C2  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F660     R1240 C2  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F675     R1240 C2  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F690     R1240 C2  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F705     R1240 C2  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F720     R1240 C2  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F735     R1240 C2  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F750     R1240 C3  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F765     R1240 C3  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F780     R1240 C3  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F795     R1240 C3  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F810     R1240 C3  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F825     R1240 C3  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F840     R1240 C3  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F855     R1240 C4  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F870     R1240 C4  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F885     R1240 C4  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F900     R1240 C4  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
F915     R1240 C4  pos=(-26214,     0, -3861) rot=0     vz=-10207/-10258/-10308 scr=(160,120) kasten=x148..172,y123..123 masken=0 | keine Maske am Koerper
