; C:\workspace\git\reAi_v2\info\re2leon\PSX.EXE  pointer table @0x800a74c8
  [120] 0x800a76a8 -> 0x80058260  EXE
  [121] 0x800a76ac -> 0x800582b8  EXE
  [122] 0x800a76b0 -> 0x80058f78  EXE
  [123] 0x800a76b4 -> 0x80059030  EXE
  [124] 0x800a76b8 -> 0x80058ad8  EXE
  [125] 0x800a76bc -> 0x80058b40  EXE
  [126] 0x800a76c0 -> 0x80058bfc  EXE
  [127] 0x800a76c4 -> 0x80058c4c  EXE
  [128] 0x800a76c8 -> 0x800580cc  EXE
  [129] 0x800a76cc -> 0x80058528  EXE
  [130] 0x800a76d0 -> 0x80056930  EXE
  [131] 0x800a76d4 -> 0x8005918c  EXE
  [132] 0x800a76d8 -> 0x800591c4  EXE
  [133] 0x800a76dc -> 0x8005922c  EXE
  [134] 0x800a76e0 -> 0x800592f8  EXE
  [135] 0x800a76e4 -> 0x80059318  EXE
  [136] 0x800a76e8 -> 0x80058660  EXE
  [137] 0x800a76ec -> 0x80058eb0  EXE
  [138] 0x800a76f0 -> 0x80059348  EXE
  [139] 0x800a76f4 -> 0x80059394  EXE
  [140] 0x800a76f8 -> 0x800593e4  EXE
  [141] 0x800a76fc -> 0x80054e14  EXE
  [142] 0x800a7700 -> 0x80057714  EXE
